Enabled,Enabled
Use Product Settings,Use Product Settings
Set to Yes then use settings of individual product,Set to Yes then use settings of individual product
Time Step,Time Step
Price Step,Price Step
Update Main Price By Minute,Update Main Price By Minute
Update main price by each minute,Update main price by each minute
Display Countdown Timer,Display Countdown Timer
Tooltip Timer,Tooltip Timer
Timer,Timer
End Price,End Price
Color Settings,Color Settings
Be quick or Pay,Be quick or Pay
Days,Days
Hrs,Hrs
Mins,Mins
Secs,Secs